case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;
 [m];Pressure [Line 1] [bara]; [m];Pressure [Line 2] [bara]; [m];Pressure [Mainline] [bara]; [m];Pressure [Wellbore1] [bara]; [m];Pressure [Wellbore2] [bara]; [m];Pressure [Wellbore3] [bara]; [m];Pressure [Wellbore4] [bara];
50;175,3353829266121;50;174,7341929372018;50,00147926805847;198,6932735993319;10;247,5971371897193;10;248,816625640266;10;249,3469097659519;10;250,3757784425689;
150;175,5980041413689;150;175,0034523930993;150,0044378041754;198,7331000162943;30;246,0005143221084;30;247,2248614003773;30;247,7572820306183;30;248,7903596511171;
250;175,8605801593246;250;175,2726684136583;250,0073963402924;198,7729265119717;50;244,40459213138;50;245,6337815970596;50;246,1683322895808;50;247,2056106429017;
350;176,1231106779478;350;175,5418412377027;350,0103548764093;198,8127530987464;70;242,8094090911399;70;244,0434243658055;70;244,5800985388512;70;245,6215691651863;
450;176,3855954991533;450;175,810971065156;450,0133134125263;198,8525797880558;90;241,2149700885524;90;242,4537944868786;90;242,9925855150525;90;244,038239906675;
550;176,6480345159805;550;176,080058072585;550,0162719486432;198,8924065870029;110;239,62128003305;110;240,8648967815456;110;241,4057979754241;110;242,4556275708795;
650;176,9104277253387;650;176,3491024196145;650,0192304847601;198,9322335039621;130;238,0283438550654;130;239,2767360696756;130;239,8197406973944;130;240,8737368747124;
750;177,1727751661288;750;176,6181042462756;750,022189020877;198,9720605485394;150;236,4361665061826;150;237,6893171734733;150;238,2344184767234;150;239,2925725597415;
850;177,4350768444016;850;176,8870636729898;850,0251475569939;199,0118877281384;170;234,8447529592868;170;236,1026449507064;170;236,64983612914;170;237,7121393898486;
950;177,6973328460454;950;177,155980818352;950,0281060931109;199,051715049809;190;233,2541082087166;190;234,5167242820517;190;235,0659984906008;190;236,1324421650791;
