case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;
 [m];Pressure [Line 1] [bara]; [m];Pressure [Line 2] [bara]; [m];Pressure [Mainline] [bara]; [m];Pressure [Wellbore1] [bara]; [m];Pressure [Wellbore2] [bara]; [m];Pressure [Wellbore3] [bara]; [m];Pressure [Wellbore4] [bara];
50;163,0212459787529;50;163,0212459787628;50,00147926805847;185,1109826279321;10;244,1416639223075;10;244,1416639223075;10;244,1416639222761;10;244,141663922276;
150;163,2699094124629;150;163,2699094124727;150,0044378041754;185,1437229050693;30;242,5314860392172;30;242,5314860392172;30;242,5314860391871;30;242,531486039187;
250;163,5185241849377;250;163,5185241849475;250,0073963402924;185,1764592316306;50;240,9220374252108;50;240,9220374252108;50;240,922037425182;50;240,9220374251819;
350;163,7670903941373;350;163,767090394147;350,0103548764093;185,209191609242;70;239,3133574035155;70;239,3133574035155;70;239,313357403488;70;239,3133574034879;
450;164,0156081371823;450;164,0156081371919;450,0133134125263;185,2419200394905;90;237,7054510576899;90;237,7054510576899;90;237,7054510576637;90;237,7054510576637;
550;164,2640775101468;550;164,2640775101563;550,0162719486432;185,2746445239303;110;236,0983234965828;110;236,0983234965827;110;236,0983234965577;110;236,0983234965577;
650;164,5124986084052;650;164,5124986084146;650,0192304847601;185,3073650640881;130;234,4919798528741;130;234,4919798528741;130;234,4919798528503;130;234,4919798528503;
750;164,7608715260942;750;164,7608715261036;750,022189020877;185,3400816614678;150;232,8864252832743;150;232,8864252832743;150;232,8864252832517;150;232,8864252832517;
850;165,0091963568631;850;165,0091963568724;850,0251475569939;185,3727943175541;170;231,2816649689273;170;231,2816649689273;170;231,2816649689058;170;231,2816649689058;
950;165,2574731937132;950;165,2574731937224;950,0281060931109;185,4055030337032;190;229,6777041155096;190;229,6777041155096;190;229,6777041154892;190;229,6777041154892;
1050;165,5057021290777;1050;165,5057021290868;1050,031064629228;185,4382078112581;210;228,0745479534368;210;228,0745479534368;210;228,0745479534175;210;228,0745479534175;
1150;165,7538832550917;1150;165,7538832551007;1150,034023165345;185,4709086517734;230;226,4722017381817;230;226,4722017381817;230;226,4722017381635;230;226,4722017381634;
1250;166,0020166628904;1250;166,0020166628994;1250,036981701462;185,5036055567938;250;224,8706707502643;250;224,8706707502642;250;224,8706707502471;250;224,8706707502471;
1350;166,2501024435042;1350;166,250102443513;1350,039940237579;185,5362985277438;270;223,2699602954675;270;223,2699602954675;270;223,2699602954514;270;223,2699602954514;
1450;166,4981406876808;1450;166,4981406876895;1450,042898773695;185,5689875660404;290;221,6700757052692;290;221,6700757052692;290;221,6700757052541;290;221,6700757052542;
1550;166,7461314853378;1550;166,7461314853465;1550,045857309813;185,601672673094;310;220,0710223369504;310;220,0710223369504;310;220,0710223369363;310;220,0710223369363;
1650;166,9940749262314;1650;166,99407492624;1650,048815845929;185,6343538503096;330;218,4728055739276;330;218,4728055739276;330;218,4728055739145;330;218,4728055739145;
1750;167,2419710997598;1750;167,2419710997682;1750,051774382046;185,6670310990868;350;216,8754308257529;350;216,8754308257529;350;216,8754308257408;350;216,8754308257408;
1850;167,4898200949494;1850;167,4898200949578;1850,054732918163;185,6997044208208;370;215,2789035283417;370;215,2789035283416;370;215,2789035283304;370;215,2789035283304;
1950;167,7376220007145;1950;167,7376220007228;1950,05769145428;185,7323738170043;390;213,6832291444211;390;213,6832291444211;390;213,6832291444108;390;213,6832291444108;
2050;167,9853769051784;2050;167,9853769051866;2050,060649990397;185,765039288711;410;212,0884131637728;410;212,0884131637729;410;212,0884131637634;410;212,0884131637634;
2150;168,2330848963595;2150;168,2330848963676;2150,063608526514;185,7977008373443;430;210,4944611032247;430;210,4944611032247;430;210,4944611032161;430;210,4944611032162;
2250;168,4807460621683;2250;168,4807460621764;2250,066567062631;185,8303584642852;450;208,9013785068962;450;208,9013785068962;450;208,9013785068886;450;208,9013785068886;
2350;168,7283604897406;2350;168,7283604897487;2350,069525598748;185,8630121709119;470;207,3091709466683;470;207,3091709466683;470;207,3091709466616;470;207,3091709466616;
2450;168,9759282661167;2450;168,9759282661246;2450,072484134866;185,8956619583739;490;205,7178440224344;490;205,7178440224343;490;205,7178440224285;490;205,7178440224285;
2550;169,2234494782155;2550;169,2234494782233;2550,075442670983;185,9283078280446;510;204,1274033621027;510;204,1274033621027;510;204,1274033620976;510;204,1274033620976;
2650;169,4709242121876;2650;169,4709242121953;2650,0784012071;185,9609497815194;530;202,5378546218521;530;202,5378546218521;530;202,5378546218478;530;202,5378546218478;
2750;169,7183525540639;2750;169,7183525540714;2750,081359743217;185,9935878201662;550;200,9492034867487;550;200,9492034867487;550;200,9492034867451;550;200,9492034867451;
