case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;case_final;
 [m];Pressure [Line 1] [bara]; [m];Pressure [Line 2] [bara]; [m];Pressure [Mainline] [bara]; [m];Pressure [Wellbore1] [bara]; [m];Pressure [Wellbore2] [bara]; [m];Pressure [Wellbore3] [bara]; [m];Pressure [Wellbore4] [bara];
50;175,1462019546982;50;175,1914791151669;50,00147926805847;195,3709344436488;10;239,4380420240362;10;239,2599231848423;10;239,2172164277089;10;239,2104474913468;
150;175,3742072383732;150;175,4189695070401;150,0044378041754;195,3938101340592;30;237,8102663929119;30;237,6314994018117;30;237,5886374397957;30;237,5818439111436;
250;175,6021624540116;250;175,6464100417046;250,0073963402924;195,4166773162245;50;236,183265801671;50;236,0038523788284;50;235,9608356243917;50;235,9540175688704;
350;175,8300673378855;350;175,8738004593154;350,0103548764093;195,439535994049;70;234,5570808007151;70;234,3770227132741;70;234,3338515901495;70;234,3270090749668;
450;176,0579217127864;450;176,101140585404;450,0133134125263;195,4623861712437;90;232,9317168041084;90;232,7510158320322;90;232,7076907670307;90;232,7008238598829;
550;176,2857254694929;550;176,3284303125734;550,0162719486432;195,4852278513662;110;231,3071792555272;110;231,1258371917748;110;231,0823586148281;110;231,0754673839064;
650;176,5134785510154;650;176,5556695849456;650,0192304847601;195,5080610378661;130;229,6834736270424;130;229,5014922777472;130;229,4578606219504;130;229,4509451359479;
750;176,7411809396332;750;176,7828583853712;750,022189020877;195,5308857341297;150;228,0606054193906;150;227,8779866040413;150;227,8342023056968;150;227,8272626338153;
850;176,9688326466177;850;177,0099967252904;850,0251475569939;195,5537019435215;170;226,4385801622473;170;226,2553257138723;170;226,2113892125339;170;226,2044254244912;
950;177,1964337042955;950;177,2370846369043;950,0281060931109;195,5765096694214;190;224,8174034145042;190;224,633515179859;190;224,5894269183771;190;224,5824390844137;
1050;177,4239841600787;1050;177,4641221672878;1050,031064629228;195,5993089152597;210;223,1970807645533;210;223,0125606043117;210;222,9683210288789;210;222,9613092197659;
1150;177,6514840720546;1150;177,6911093740394;1150,034023165345;195,6220996845467;230;221,5776178305755;230;221,3924676195233;230;221,3480771797217;230;221,3410414667674;
1250;177,8789335056956;1250;177,9180463220366;1250,036981701462;195,6448819808906;250;219,9590202608286;250;219,7732418880608;250;219,728701036909;250;219,7216414919671;
1350;178,1063325317332;1350;178,144933081341;1350,039940237579;195,6676558061563;270;218,3412937339434;270;218,1548891030658;270;218,1101982970674;270;218,1031149925442;
1450;178,3336812243583;1450;178,3717697254218;1450,042898773695;195,6904211643494;290;216,7244439592253;290;216,5374149885585;290;216,4925746877513;290;216,485467696614;
1550;178,5609796601626;1550;178,5985563301129;1550,045857309813;195,7131780614337;310;215,1084766769556;310;214,9208252997433;310;214,8758359677495;310;214,8687053635336;
1650;178,7882279173417;1650;178,8252929728265;1650,048815845929;195,7359265013339;330;213,4933976586977;330;213,3051258233184;330;213,2599879273953;330;213,2528337842129;
1750;179,0154260751728;1750;179,0519797320386;1750,051774382046;195,7586664877679;350;211,8792127076112;350;211,6903223777942;350;211,6450363888865;350;211,6378587814346;
1850;179,2425742136154;1850;179,2786166868952;1850,054732918163;195,781398024228;370;210,2659276587688;370;210,0764208138133;370;210,0309872066057;370;210,0237862101745;
1950;179,4696724130924;1950;179,5052039169964;1950,05769145428;195,8041211125307;390;208,6535483794761;390;208,4634270144749;390;208,4178462674457;390;208,4106219579272;
2050;179,6967207542986;2050;179,7317415022083;2050,060649990397;195,8268357576867;410;207,0420807696007;410;206,8513468956677;410;206,8056194911441;410;206,7983719450405;
2150;179,9237193180905;2150;179,9582295225549;2150,063608526514;195,8495419645088;430;205,431530761894;430;205,2401864063962;430;205,1943128306099;430;205,1870421250428;
2250;180,1506681854002;2250;180,184668058134;2250,066567062631;195,8722397414285;450;203,8219043223326;450;203,629951529126;450;203,58393227227;450;203,5766384849891;
2350;180,3775674371741;2350;180,4110571890576;2350,069525598748;195,8949290882263;470;202,2132074504585;470;202,0206482801287;470;201,9744838364151;470;201,9671670458077;
2450;180,6044171543314;2450;180,6373969954128;2450,072484134866;195,9176100068863;490;200,6054461797262;490;200,412282709833;490;200,3659735775522;490;200,3586338626522;
2550;180,8312174177146;2550;180,8636875572138;2550,075442670983;195,940282501046;510;198,9986265778485;510;198,8048609031758;510;198,7584075847568;510;198,7510450252543;
2650;181,057968308087;2650;181,0899289544023;2650,0784012071;195,9629465759612;530;197,3927547471561;530;197,1983889799661;530;197,1517919820373;530;197,1444066582885;
2750;181,2846699060932;2750;181,3161212668099;2750,081359743217;195,9856022511916;550;195,7878368249628;550;195,592873095255;550;195,5461329287071;550;195,5387249217438;
2850;181,51132229225;2850;181,5422645741512;2850,084318279334;196,008249506562;570;194,18387898393;570;193,9883194397052;570;193,9414366197545;570;193,9340060112947;
2950;181,7379255469339;2950;181,7683589560141;2950,087276815451;196,0308883375249;590;192,5808874324387;590;192,3847342399684;590;192,3377092862218;590;192,3302561586794;
3050;181,9644797503723;3050;181,9944044918532;3050,090235351568;196,0535187507715;610;190,9788684149733;610;190,7821237590739;610;190,7349571955951;610;190,7274816320907;
3150;182,1909849826422;3150;182,2204012609899;3150,093193887686;196,0761407516306;630;189,3778282125081;630;189,1804942968205;630;189,1331866521974;630;189,125688736569;
3250;182,4174413236692;3250;182,4463493426134;3250,096152423803;196,0987543441136;650;187,7777731428985;650;187,5798521901735;650;187,5324039975871;650;187,5248838144007;
3350;182,6438488532307;3350;182,6722488157847;3350,09911095992;196,1213595177554;670;186,1787095612795;670;185,9802038136682;670;185,9326156109628;670;185,9250732455238;
3450;182,8702076509624;3450;182,8980997594421;3450,102069496037;196,1439563022427;690;184,5806438604776;690;184,381555579828;690;184,3338279095829;690;184,326263447947;
3550;183,0965177963678;3550;183,1239022524099;3550,105028032154;196,1665447122429;710;182,9835824714082;710;182,7839139395683;710;182,7360473491703;710;182,7284608781555;
3650;183,3227793688339;3650;183,34965637341;3650,107986568271;196,189124764597;730;181,3875318635044;730;181,1872853826298;730;181,1392804243484;730;181,1316720315464;
3750;183,5489924476446;3750;183,5753622010703;3750,110945104389;196,2116964372447;750;179,7924985451421;750;179,5916764380117;750;179,5435336690748;750;179,5359034428633;
3850;183,7751571119993;3850;183,8010198139366;3850,113903640506;196,2342597241783;770;178,1984890640717;770;177,9970936744083;770;177,9488136570797;770;177,9411616866344;
3950;184,0012734410335;3950;184,026629290482;3950,116862176623;196,2568146311336;790;176,6055100078604;790;176,4035437006589;790;176,3551270023178;790;176,347453377625;
4050;184,2273415138406;4050;184,2521907091181;4050,11982071274;196,2793611630369;810;175,0135680043316;810;174,8110331661932;810;174,7624803594148;810;174,7547851712842;
4150;184,4533614094957;4150;184,4777041482052;4150,122779248857;196,3018993241645;830;173,4226697220288;830;173,2195687615026;830;173,1708804241409;830;173,1631637642186;
4250;184,6793332070803;4250;184,7031696860637;4250,125737784974;196,3244291182447;850;171,8328218706691;850;171,6291572186013;850;171,5803339338731;850;171,5725958946547;
4350;184,9052569857045;4350;184,9285874009854;4350,128696321091;196,3469505485136;870;170,2440312016185;870;170,0398053115074;870;169,9908476680789;870;169,9830883429233;
4450;185,131132824541;4450;185,1539573712598;4450,131654857209;196,3694636177306;890;168,6563045083749;890;168,451519856735;890;168,4024284488092;890;168,3946479319526;
4550;185,35696080285;4550;185,3792796752014;4550,134613393326;196,3919683255853;910;167,0696486270439;910;166,864307713777;910;166,8150831411842;910;166,8072815277538;
4650;185,5827410000114;4650;185,6045543911807;4650,137571929443;196,4144646919083;930;165,4840704368404;930;165,2781757856149;930;165,2288186539039;930;165,2209960399326;
4750;185,8084734955649;4750;185,8297815938741;4750,14053046556;196,4369527206157;950;163,8995768605928;950;163,693131019231;950;163,643641939763;950;163,6357984222043;
4850;186,0341583692556;4850;186,0549613622954;4850,143489001677;196,4594324140821;970;162,3161748652536;970;162,1091804061274;970;162,0595599961723;970;162,0516956729154;
4950;186,2597957010957;4950;186,2800937764586;4950,146447537794;196,4819037749631;990;160,7338714624262;990;160,5263309828616;990;160,4765798656957;990;160,4686948355803;
5050;186,4853855714295;5050;186,5051789184114;5050,149406073911;196,5043668061435;1010;159,1526737088896;1010;158,9445898315801;1010;158,8947086365861;1010;158,8868029994191;
5150;186,7109280572236;5150;186,7302168723236;5150,152364610029;196,5268215106976;1030;157,5725887071323;1030;157,3639640805614;1030;157,3139534433312;1030;157,3060272999021;
5250;186,9364232401216;5250;186,9552077185585;5250,155323146146;196,5492678918524;1050;155,9936236059061;1050;155,7844609047795;1050;155,7343214672185;1050;155,7263749193162;
5350;187,1618712031451;5350;187,1801515375275;5350,158281682263;196,5717059511385;1070;154,4157856008024;1070;154,2060875264891;1070;154,1558199369236;1070;154,147853087353;
5450;187,3872720317815;5450;187,4050484106944;5450,16124021838;196,5941356919565;1090;152,8390819350735;1090;152,6288512160519;1090;152,5784561293361;1090;152,5704690819354;
5550;187,6126258141084;5550;187,6298984243527;5550,164198754497;196,616557119731;1110;151,263519902033;1110;151,0527592943086;1110;151,0022373719202;1110;150,9942302315766;
5650;187,8379326346781;5650;187,8547016582521;5650,167157290614;196,6389702380883;1130;149,6891068557763;1130;149,4778191431052;1130;149,4271710531678;1130;149,4191439258269;
5750;188,0631925793338;5750;188,0794581957615;5750,170115826731;196,6613750507123;1150;148,1158502623561;1150;147,9040382555175;1150;147,8532646724726;1150;147,8452176651139;
5850;188,288405739238;5850;188,3041681236202;5850,173074362849;196,6837715614235;1170;146,5437610336793;1170;146,3314275800058;1170;146,280529191225;1170;146,2724624122313;
5950;188,5135721997537;5950;188,5288315321778;5950,176032898966;196,7061597736977;1190;144,9825412913192;1190;144,7697390902487;1190;144,7187421549449;1190;144,7106575960874;
6050;188,7386920507428;6050;188,7534485379949;6050,178991435083;196,7285396895109;;;;;;;;;
6150;188,9637653868235;6150;188,9780192145445;6150,1819499712;196,7509113126034;;;;;;;;;
6250;189,1887923298923;6250;189,2025436412996;6250,184908507317;196,7732746486608;;;;;;;;;
6350;189,4137729598974;6350;189,4270219225506;6350,187867043434;196,7956297015191;;;;;;;;;
6450;189,6387073637488;6450;189,6514541653806;6450,190825579552;196,8179764750281;;;;;;;;;
6550;189,8635956539581;6550;189,8758404805408;6550,193784115669;196,8403149730484;;;;;;;;;
6650;190,0884379246808;6650;190,1001809833366;6650,196742651786;196,8626451994451;;;;;;;;;
6750;190,3132343441366;6750;190,3244757945658;6750,199701187903;196,8849671580859;;;;;;;;;
6850;190,537985038816;6850;190,54872504153;6850,20265972402;196,9072808546484;;;;;;;;;
6950;190,7626901240022;6950;190,7729288591425;6950,205618260137;196,9295862912284;;;;;;;;;
7050;190,9873497461495;7050;190,9970873911651;7050,208576796254;196,9518834697418;;;;;;;;;
7150;191,2119640616427;7150;191,2212007869808;7150,211535332372;196,974172395965;;;;;;;;;
7250;191,4365332338769;7250;191,4452692290735;7250,214493868489;196,9964530734414;;;;;;;;;
7350;191,6610574610291;7350;191,6692929015197;7350,217452404606;197,0187255060126;;;;;;;;;
7450;191,8855369449389;7450;191,8932720012663;7450,220410940723;197,0409896975158;;;;;;;;;
7550;192,1099719027165;7550;192,1172067443446;7550,22336947684;197,0632456517994;;;;;;;;;
7650;192,3343625733586;7650;192,3410973686551;7650,226328012957;197,08549337272;;;;;;;;;
7750;192,5587092172499;7750;192,5649441334566;7750,229286549074;197,10773286233;;;;;;;;;
7850;192,7830121272875;7850;192,7887473304658;7850,232245085192;197,1299641244493;;;;;;;;;
7950;193,007271633474;7950;193,0125072884366;7950,235203621309;197,1521871648572;;;;;;;;;
8050;193,2314881001783;8050;193,2362243704184;8050,238162157426;197,1744019875305;;;;;;;;;
8150;193,4556619356739;8150;193,4598989832758;8150,241120693543;197,1966085964882;;;;;;;;;
8250;193,6797935950271;8250;193,6835315805675;8250,244079229658;197,2188069957771;;;;;;;;;
8350;193,9038835950706;8350;193,9071226774918;8350,247037765777;197,2409971894542;;;;;;;;;
8450;194,1279325234678;8450;194,1306728599323;8450,249996301893;197,2631791816518;;;;;;;;;
8550;194,3519410411193;8550;194,3541827868529;8550,252954838012;197,2853529742936;;;;;;;;;
8650;194,5759098975327;8650;194,5776532056363;8650,255913374127;197,3075185713396;;;;;;;;;
8750;194,7998399441136;8750;194,8010849653449;8750,258871910246;197,3296759786811;;;;;;;;;
8850;195,0237321452891;8850;195,0244790278186;8850,261830446361;197,3518252003531;;;;;;;;;
8950;195,2475800650601;8950;195,2478289913558;8950,26478898248;197,3739662403504;;;;;;;;;
;;;;9050,267747518596;197,3960991026286;;;;;;;;;
;;;;9150,270706054715;197,4182237911163;;;;;;;;;
;;;;9250,27366459083;197,4403403079391;;;;;;;;;
;;;;9350,276623126949;197,4624486572631;;;;;;;;;
;;;;9450,279581663064;197,48454884507;;;;;;;;;
;;;;9550,282540199183;197,5066408753139;;;;;;;;;
;;;;9650,285498735298;197,5287247517339;;;;;;;;;
;;;;9750,288457271417;197,5508004779955;;;;;;;;;
;;;;9850,291415807533;197,5728680573328;;;;;;;;;
;;;;9950,294374343652;197,5949274932887;;;;;;;;;
;;;;10050,29733287977;197,6169787880569;;;;;;;;;
;;;;10150,30029141589;197,6390219478266;;;;;;;;;
;;;;10250,303249952;197,6610569785682;;;;;;;;;
;;;;10350,30620848812;197,6830838856143;;;;;;;;;
;;;;10450,30916702424;197,7051026703195;;;;;;;;;
;;;;10550,31212556035;197,7271133344001;;;;;;;;;
;;;;10650,31508409647;197,7491158818008;;;;;;;;;
;;;;10750,31804263259;197,7711103167197;;;;;;;;;
;;;;10850,3210011687;197,7930966434285;;;;;;;;;
;;;;10950,32395970482;197,8150748647652;;;;;;;;;
;;;;11050,32691824094;197,8370449874685;;;;;;;;;
;;;;11150,32987677706;197,8590070175645;;;;;;;;;
;;;;11250,33283531317;197,8809609591865;;;;;;;;;
;;;;11350,33579384929;197,9029068162658;;;;;;;;;
;;;;11450,33875238541;197,9248445927034;;;;;;;;;
;;;;11550,34171092153;197,9467742923908;;;;;;;;;
;;;;11650,34466945764;197,9686959191172;;;;;;;;;
;;;;11750,34762799376;197,9906094762599;;;;;;;;;
;;;;11850,35058652988;198,0125149671977;;;;;;;;;
;;;;11950,35354506599;198,0344124007007;;;;;;;;;
;;;;12050,35650360211;198,0563017775568;;;;;;;;;
;;;;12150,35946213823;198,078183100436;;;;;;;;;
;;;;12250,36242067434;198,1000563732216;;;;;;;;;
;;;;12350,36537921046;198,1219216008004;;;;;;;;;
;;;;12450,36833774658;198,1437787885214;;;;;;;;;
;;;;12550,3712962827;198,1656279429905;;;;;;;;;
;;;;12650,37425481881;198,1874690841435;;;;;;;;;
;;;;12750,37721335493;198,2093021946314;;;;;;;;;
;;;;12850,38017189105;198,2311272710288;;;;;;;;;
;;;;12950,38313042717;198,2529443208719;;;;;;;;;
;;;;13050,38608896328;198,2747533506751;;;;;;;;;
;;;;13150,3890474994;198,2965543661757;;;;;;;;;
;;;;13250,39200603552;198,318347372506;;;;;;;;;
;;;;13350,39496457163;198,3401323743092;;;;;;;;;
;;;;13450,39792310775;198,3619093758041;;;;;;;;;
;;;;13550,40088164387;198,3836783806571;;;;;;;;;
;;;;13650,40384017998;198,4054393800608;;;;;;;;;
;;;;13750,4067987161;198,4271924149536;;;;;;;;;
;;;;13850,40975725222;198,4489374757046;;;;;;;;;
;;;;13950,41271578834;198,4706745553618;;;;;;;;;
;;;;14050,41567432445;198,4924036587945;;;;;;;;;
;;;;14150,41863286057;198,5141247905226;;;;;;;;;
;;;;14250,42159139669;198,5358379547694;;;;;;;;;
;;;;14350,42454993281;198,5575431554893;;;;;;;;;
;;;;14450,42750846892;198,5792403963738;;;;;;;;;
;;;;14550,43046700504;198,6009296808398;;;;;;;;;
;;;;14650,43342554116;198,6226110119972;;;;;;;;;
;;;;14750,43638407727;198,6442843900827;;;;;;;;;
;;;;14850,43934261339;198,6659498342463;;;;;;;;;
;;;;14950,44230114951;198,6876073489979;;;;;;;;;
;;;;15050,44525968562;198,7092569371346;;;;;;;;;
;;;;15150,44821822174;198,7308986019484;;;;;;;;;
;;;;15250,45117675786;198,7525323469491;;;;;;;;;
;;;;15350,45413529398;198,7741581758301;;;;;;;;;
;;;;15450,45709383009;198,7957760924334;;;;;;;;;
;;;;15550,46005236621;198,8173861007205;;;;;;;;;
;;;;15650,46301090233;198,8389882047494;;;;;;;;;
;;;;15750,46596943845;198,8605824086545;;;;;;;;;
;;;;15850,46892797456;198,8821687166279;;;;;;;;;
;;;;15950,47188651068;198,9037471311647;;;;;;;;;
;;;;16050,4748450468;198,9253176564835;;;;;;;;;
;;;;16150,47780358291;198,9468802986747;;;;;;;;;
;;;;16250,48076211903;198,9684350621036;;;;;;;;;
;;;;16350,48372065515;198,989981951005;;;;;;;;;
;;;;16450,48667919126;199,0115209697498;;;;;;;;;
;;;;16550,48963772738;199,0330521227184;;;;;;;;;
;;;;16650,4925962635;199,0545754143027;;;;;;;;;
;;;;16750,49555479961;199,0760908489031;;;;;;;;;
;;;;16850,49851333573;199,0975984309239;;;;;;;;;
;;;;16950,50147187184;199,1190981647724;;;;;;;;;
;;;;17050,50443040796;199,1405900565885;;;;;;;;;
;;;;17150,50738894407;199,1620741108263;;;;;;;;;
;;;;17250,51034748019;199,1835503283694;;;;;;;;;
;;;;17350,5133060163;199,2050187135458;;;;;;;;;
;;;;17450,51626455242;199,2264792725081;;;;;;;;;
;;;;17550,51922308853;199,2479320096005;;;;;;;;;
;;;;17650,52218162465;199,2693769293053;;;;;;;;;
;;;;17750,52514016076;199,2908140360014;;;;;;;;;
;;;;17850,52809869688;199,3122433340808;;;;;;;;;
;;;;17950,53105723299;199,3336648279478;;;;;;;;;
;;;;18050,53401576911;199,355078522019;;;;;;;;;
;;;;18150,53697430522;199,3764844207222;;;;;;;;;
;;;;18250,53993284134;199,3978825284939;;;;;;;;;
;;;;18350,54289137745;199,4192728497741;;;;;;;;;
;;;;18450,54584991357;199,4406553872834;;;;;;;;;
;;;;18550,54880844968;199,4620301454126;;;;;;;;;
;;;;18650,5517669858;199,4833971303757;;;;;;;;;
;;;;18750,55472552191;199,5047563466383;;;;;;;;;
;;;;18850,55768405803;199,5261077984794;;;;;;;;;
;;;;18950,56064259414;199,5474514910366;;;;;;;;;
;;;;19050,56360113026;199,5687874287967;;;;;;;;;
;;;;19150,56655966637;199,5901156162901;;;;;;;;;
;;;;19250,56951820249;199,6114360580607;;;;;;;;;
;;;;19350,57247673861;199,6327487586643;;;;;;;;;
;;;;19450,57543527472;199,6540537226676;;;;;;;;;
;;;;19550,57839381084;199,6753509546452;;;;;;;;;
;;;;19650,58135234696;199,6966404591773;;;;;;;;;
;;;;19750,58431088307;199,7179222408442;;;;;;;;;
;;;;19850,58726941919;199,7391963042195;;;;;;;;;
;;;;19950,5902279553;199,7604626521565;;;;;;;;;
;;;;20050,59318649142;199,7817212891578;;;;;;;;;
;;;;20150,59614502753;199,8029722209224;;;;;;;;;
;;;;20250,59910356365;199,8242154539951;;;;;;;;;
;;;;20350,60206209976;199,8454509929001;;;;;;;;;
;;;;20450,60502063588;199,8666788439583;;;;;;;;;
;;;;20550,60797917199;199,8878990118267;;;;;;;;;
;;;;20650,61093770811;199,9091114993237;;;;;;;;;
;;;;20750,61389624422;199,9303163109548;;;;;;;;;
;;;;20850,61685478034;199,9515134511824;;;;;;;;;
;;;;20950,61981331645;199,9727029244432;;;;;;;;;
;;;;21050,62277185257;199,9938847351689;;;;;;;;;
;;;;21150,62573038868;200,0150588878076;;;;;;;;;
;;;;21250,6286889248;200,0362253868394;;;;;;;;;
;;;;21350,63164746091;200,0573842367901;;;;;;;;;
;;;;21450,63460599703;200,0785354422875;;;;;;;;;
;;;;21550,63756453314;200,0996790131829;;;;;;;;;
;;;;21650,64052306926;200,1208149521829;;;;;;;;;
;;;;21750,64348160537;200,1419432639834;;;;;;;;;
;;;;21850,64644014149;200,1630639533015;;;;;;;;;
;;;;21950,6493986776;200,184177024869;;;;;;;;;
;;;;22050,65235721372;200,2052824834248;;;;;;;;;
;;;;22150,65531574983;200,2263803320296;;;;;;;;;
;;;;22250,65827428595;200,2474705753859;;;;;;;;;
;;;;22350,66123282207;200,2685532199841;;;;;;;;;
;;;;22450,66419135818;200,2896282706088;;;;;;;;;
;;;;22550,6671498943;200,310695732061;;;;;;;;;
;;;;22650,67010843041;200,3317556091554;;;;;;;;;
;;;;22750,67306696653;200,3528079025563;;;;;;;;;
